Characteristic,All (M2_hEq IDES),Good responder,Bad responder (PFS@12),Hodgkin,DLBCL
N,137,114,23,69,68
Age (median [IQR]),45 [30-62],41 [29-60],54 [43-67],33 [27-49],58 [43-73]
"Age ≥60, N (%)",40 (29%),30 (26%),10 (43%),7 (10%),33 (49%)
"Male, N (%)",83 (61%),68 (60%),15 (65%),38 (55%),45 (66%)
"Hodgkin classique, N (%)",69 (50%),64 (56%),5 (22%),69 (100%),0 (0%)
"DLBCL bucket, N (%)",68 (50%),50 (44%),18 (78%),0 (0%),68 (100%)
"Stade III-IV, N (%)",79 (58%),60 (53%),19 (83%),33 (48%),46 (68%)
"ctDNA_diag (hEq/mL, median [IQR])",19201 [5388-56496],13972 [4581-41425],92896 [47358-148317],10222 [3785-24691],46012 [10112-175651]
"cfDNA_diag (ng/mL, median [IQR])",4023 [2256-9432],3750 [2122-8288],9148 [5263-14602],2796 [2000-5910],6080 [3450-13806]
"TEP2 Deauville ≥4, N (%)",38 (28%),25 (22%),13 (57%),10 (14%),28 (41%)
"PFS event @ 12mo, N (%)",23 (17%),0 (0%),23 (100%),5 (7%),18 (26%)
"PFS event (any time), N (%)",25 (18%),2 (2%),23 (100%),6 (9%),19 (28%)
"Follow-up (mo, median [IQR])",23 [11-34],27 [18-38],5 [2-7],28 [18-40],20 [8-28]
